"cc","FloodPhenomenaID","Year","StartDate","EndDate","Number_FE","Number_FL","EUUOMCODE","FP_Severity","FP_Duration","FP_Extension","SourceOfFlooding","CharacteristicsOfFlooding","MechanismOfFlooding","FrequencyCategory","Area","Source","OtherSources"
"NO","NO-1980-05-31",1980,31/05/1980,01/06/1980,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1980-06-03",1980,03/06/1980,04/06/1980,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1980-08-21",1980,21/08/1980,22/08/1980,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1980-11-21",1980,21/11/1980,22/11/1980,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1980-11-23",1980,23/11/1980,24/11/1980,5,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1980-12-02",1980,02/12/1980,03/12/1980,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1981-01-29",1981,28/01/1981,30/01/1981,8,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1981-02-01",1981,01/02/1981,03/02/1981,3,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1981-05-13",1981,12/05/1981,14/05/1981,8,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1981-05-15",1981,15/05/1981,16/05/1981,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1981-05-20",1981,20/05/1981,21/05/1981,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1981-05-23",1981,22/05/1981,24/05/1981,6,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1981-05-25",1981,25/05/1981,26/05/1981,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1981-07-12",1981,12/07/1981,13/07/1981,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1981-08-16",1981,16/08/1981,17/08/1981,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1981-09-21",1981,21/09/1981,22/09/1981,3,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1981-11-23",1981,23/11/1981,24/11/1981,3,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1982-01-19",1982,19/01/1982,20/01/1982,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1982-03-26",1982,26/03/1982,28/03/1982,6,,"","High",2,"","","","","",,"National authorities",""
"NO","NO-1982-05-31",1982,31/05/1982,01/06/1982,3,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1982-07-05",1982,05/07/1982,06/07/1982,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1982-08-12",1982,12/08/1982,13/08/1982,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1982-09-09",1982,09/09/1982,10/09/1982,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1982-09-11",1982,11/09/1982,12/09/1982,2,,"","High",1,"","","","","",,"National authorities",""
"NO","NO-1982-09-19",1982,19/09/1982,20/09/1982,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1982-09-30",1982,30/09/1982,01/10/1982,1,,"","Moderate",1,"","","","","",,"National authorities",""
"NO","NO-1982-10-18",1982,18/10/1982,19/10/1982,1,,"","Moderate",1,"","","","","",,"National authorities",""
