"cc","FloodPhenomenaID","Year","StartDate","EndDate","Number_FE","Number_FL","EUUOMCODE","FP_Severity","FP_Duration","FP_Extension","SourceOfFlooding","CharacteristicsOfFlooding","MechanismOfFlooding","FrequencyCategory","Area","Source","OtherSources"
"ES","ES-1992-06-30",1992,30/06/1992,02/07/1992,3,3,"ES091,ES100","Very High",2,"","Fluvial","","Natural exceedance","Very Rare",,"FD",""
"ES","ES-1992-07-08",1992,08/07/1992,09/07/1992,2,2,"ES050","High",1,"","Fluvial","","","",,"FD",""
"ES","ES-1992-07-16",1992,15/07/1992,17/07/1992,3,3,"ES091","Very High",2,"","Fluvial","","Natural exceedance","Very Rare",,"FD",""
"ES","ES-1992-08-07",1992,07/08/1992,09/08/1992,1,1,"ES010","High",2,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1992-09-21",1992,21/09/1992,22/09/1992,1,1,"ES091","High",1,"","Fluvial","Flash flood","Natural exceedance","Rare",,"FD",""
"ES","ES-1992-09-26",1992,26/09/1992,28/09/1992,12,8,"ES091,ES100","Very High",2,"","Fluvial","","Natural exceedance,Defence exceedance","Very Rare",,"FD",""
"ES","ES-1992-10-05",1992,02/10/1992,08/10/1992,8,8,"ES018,ES091","High",6,"","Fluvial,Sea water","","Natural exceedance,Defence or infrastructural failure,Defence exceedance","Rare",,"FD",""
"ES","ES-1992-10-10",1992,10/10/1992,12/10/1992,1,1,"ES018","Moderate",2,"","Fluvial,Sea water","","","",,"FD",""
"ES","ES-1992-11-17",1992,17/11/1992,18/11/1992,1,1,"ES091","Moderate",1,"","Fluvial","","Natural exceedance","Frequent",,"FD",""
"ES","ES-1992-12-07",1992,07/12/1992,13/12/1992,41,18,"ES010,ES091","Very High",6,"","Fluvial","Other","Natural exceedance,Defence exceedance","Very Rare",,"FD",""
"ES","ES-1993-06-06",1993,06/06/1993,07/06/1993,1,1,"ES010","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1993-06-21",1993,21/06/1993,22/06/1993,1,1,"ES091","High",1,"","Fluvial","","Natural exceedance","Rare",,"FD",""
"ES","ES-1993-09-15",1993,15/09/1993,16/09/1993,3,3,"ES030","High",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-1993-11-01",1993,01/11/1993,02/11/1993,3,3,"ES100","High",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-1993-12-01",1993,01/12/1993,19/01/1994,49,37,"ES010,ES018,ES091","Very High",49,"","Fluvial,Sea water","Other","Natural exceedance,Defence exceedance","Very Rare",,"FD",""
"ES","ES-1994-02-28",1994,28/02/1994,01/03/1994,1,1,"ES040","Moderate",1,"","Fluvial","","","",,"FD",""
"ES","ES-1994-05-13",1994,13/05/1994,14/05/1994,8,8,"ES030","Very High",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-1994-08-15",1994,15/08/1994,16/08/1994,1,1,"ES091","Very High",1,"","Fluvial","","","Very Rare",,"FD",""
"ES","ES-1994-08-28",1994,28/08/1994,29/08/1994,1,1,"ES080","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1994-09-01",1994,01/09/1994,02/09/1994,1,1,"ES091","Moderate",1,"","Fluvial","Flash flood","Natural exceedance","",,"FD",""
"ES","ES-1994-09-28",1994,28/09/1994,29/09/1994,1,1,"ES018","High",1,"","Fluvial,Sea water","","","",,"FD",""
"ES","ES-1994-10-04",1994,04/10/1994,05/10/1994,4,3,"ES091","High",1,"","Fluvial","Medium onset flood,Debris flow","Natural exceedance","Rare",,"FD",""
"ES","ES-1994-10-09",1994,09/10/1994,12/10/1994,11,10,"ES080,ES091,ES100","Very High",3,"","Fluvial","Other","Natural exceedance,Defence exceedance","Rare",,"FD","Data on Fatalities obtained from EM-DAT"
"ES","ES-1994-11-04",1994,04/11/1994,07/11/1994,26,26,"ES091","Very High",3,"","Fluvial","","Defence exceedance","Very Rare",,"FD",""
"ES","ES-1994-12-31",1994,31/12/1994,02/01/1995,2,2,"ES010","High",2,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1995-03-01",1995,01/03/1995,02/03/1995,2,2,"ES091","High",1,"","Fluvial","","Natural exceedance","Rare",,"FD",""
"ES","ES-1995-03-05",1995,05/03/1995,06/03/1995,1,1,"ES018","High",1,"","Fluvial,Sea water","","","",,"FD",""
"ES","ES-1995-05-02",1995,02/05/1995,03/05/1995,1,1,"ES080","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1995-05-08",1995,08/05/1995,09/05/1995,1,1,"ES040","Very High",1,"","Fluvial","","","",,"FD",""
"ES","ES-1995-06-06",1995,06/06/1995,07/06/1995,1,1,"ES080","Moderate",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1995-06-08",1995,08/06/1995,09/06/1995,16,16,"ES050","Very High",1,"","Fluvial","","","",,"FD",""
"ES","ES-1995-06-22",1995,22/06/1995,23/06/1995,1,1,"ES020","Moderate",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1995-06-24",1995,24/06/1995,25/06/1995,3,3,"ES030","Very High",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-1995-07-09",1995,09/07/1995,10/07/1995,1,1,"ES020","Moderate",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1995-08-09",1995,08/08/1995,11/08/1995,5,4,"ES030,ES091","High",3,"","Fluvial","","Natural exceedance","Rare",,"FD",""
"ES","ES-1995-08-20",1995,20/08/1995,21/08/1995,1,1,"ES080","Very High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1995-09-18",1995,18/09/1995,19/09/1995,2,2,"ES100","High",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-1995-10-31",1995,31/10/1995,01/11/1995,1,1,"ES080","Very High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1995-12-01",1995,09/11/1995,15/02/1996,228,209,"ES050,ES010,ES020,ES030,ES040,ES091","Very High",98,"","Fluvial,Groundwater,Pluvial","Other,Medium onset flood,High velocity flow","Natural exceedance,Defence exceedance","Very Rare",,"FD",""
"ES","ES-1996-05-10",1996,10/05/1996,11/05/1996,1,1,"ES010","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1996-05-30",1996,30/05/1996,31/05/1996,1,1,"ES040","Moderate",1,"","Fluvial","","","",,"FD",""
"ES","ES-1996-06-08",1996,08/06/1996,09/06/1996,1,1,"ES091","Very High",1,"","Fluvial","","","Very Rare",,"FD",""
"ES","ES-1996-08-05",1996,05/08/1996,06/08/1996,1,1,"ES091","Moderate",1,"","Fluvial","","Natural exceedance","Frequent",,"FD",""
"ES","ES-1996-08-07",1996,07/08/1996,08/08/1996,3,3,"ES091","Very High",1,"","Fluvial,Pluvial","Flash flood","Natural exceedance","Very Rare",,"FD",""
"ES","ES-1996-08-15",1996,13/08/1996,16/08/1996,26,23,"ES050,ES080,ES091","Very High",3,"","Fluvial,Pluvial","Other","Natural exceedance","Rare",,"FD",""
"ES","ES-1996-08-18",1996,18/08/1996,21/08/1996,1,1,"ES080","Very High",3,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1996-09-02",1996,02/09/1996,04/09/1996,1,1,"ES100","Very High",2,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-1996-09-08",1996,08/09/1996,13/09/1996,1,1,"ES080","Very High",5,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1996-11-22",1996,22/11/1996,23/11/1996,1,1,"ES010","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1996-12-15",1996,11/12/1996,31/01/1997,134,125,"ES050,ES010,ES030,ES040,ES091","Very High",51,"","Fluvial","Other","Natural exceedance,Defence exceedance","Very Rare",,"FD","Data on Degree_TotalDamage obtained from EM-DAT"
"ES","ES-1997-05-01",1997,01/05/1997,02/05/1997,8,8,"ES020","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1997-05-30",1997,30/05/1997,31/05/1997,1,1,"ES020","Moderate",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1997-06-01",1997,01/06/1997,02/06/1997,1,1,"ES020","Moderate",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1997-07-09",1997,09/07/1997,10/07/1997,1,1,"ES091","Moderate",1,"","Fluvial","","Natural exceedance","Frequent",,"FD",""
"ES","ES-1997-07-15",1997,15/07/1997,25/07/1997,12,12,"ES020,ES080","Very High",10,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1997-07-26",1997,26/07/1997,27/07/1997,1,1,"ES030","High",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-1997-07-30",1997,30/07/1997,31/07/1997,1,1,"ES091","High",1,"","Fluvial","","","Rare",,"FD",""
"ES","ES-1997-08-02",1997,02/08/1997,30/08/1997,17,17,"ES050,ES018,ES020,ES080,ES091","Very High",28,"","Fluvial,Sea water","Other","Natural exceedance","Frequent",,"FD",""
"ES","ES-1997-09-19",1997,19/09/1997,20/09/1997,1,1,"ES040","Moderate",1,"","Fluvial","","","",,"FD",""
"ES","ES-1997-09-24",1997,24/09/1997,25/09/1997,3,2,"ES091","High",1,"","Fluvial","","Natural exceedance","Rare",,"FD",""
"ES","ES-1997-09-26",1997,26/09/1997,02/10/1997,4,3,"ES064,ES070,ES080","Very High",6,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1997-11-02",1997,01/11/1997,15/11/1997,82,82,"ES050,ES010,ES020,ES030,ES040,ES091","Very High",14,"","Fluvial","Other","Natural exceedance","Frequent",,"FD",""
"ES","ES-1997-11-25",1997,25/11/1997,29/11/1997,5,5,"ES040","Very High",4,"","Fluvial","","","",,"FD",""
"ES","ES-1997-12-08",1997,01/12/1997,30/01/1998,97,95,"ES050,ES010,ES020,ES030,ES040,ES080,ES091","Very High",60,"","Fluvial","Other,Flash flood","Natural exceedance,Defence exceedance","Very Rare",,"FD",""
"ES","ES-1998-02-02",1998,02/02/1998,03/02/1998,3,3,"ES040","High",1,"","Fluvial","","","",,"FD",""
"ES","ES-1998-03-01",1998,01/03/1998,04/03/1998,1,1,"ES040","Very High",3,"","Fluvial","","","",,"FD",""
"ES","ES-1998-04-30",1998,30/04/1998,05/05/1998,5,5,"ES010,ES018","Very High",5,"","Fluvial,Sea water","Other","Natural exceedance","",,"FD",""
"ES","ES-1998-05-23",1998,16/05/1998,27/05/1998,9,9,"ES050,ES040,ES080","Very High",11,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1998-06-01",1998,01/06/1998,02/06/1998,1,1,"ES091","Moderate",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-1998-06-05",1998,05/06/1998,08/06/1998,8,6,"ES091","High",3,"","Fluvial","","Natural exceedance","Rare",,"FD",""
"ES","ES-1998-09-01",1998,01/09/1998,02/09/1998,1,1,"ES091","Moderate",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-1998-09-21",1998,21/09/1998,22/09/1998,2,2,"ES040","Very High",1,"","Fluvial","","","",,"FD",""
"ES","ES-1998-10-05",1998,05/10/1998,10/10/1998,1,1,"ES018","High",5,"","Fluvial,Sea water","","","",,"FD",""
"ES","ES-1998-10-18",1998,18/10/1998,19/10/1998,1,1,"ES091","Very High",1,"","Fluvial","","Defence exceedance","Very Rare",,"FD",""
"ES","ES-1998-11-20",1998,20/11/1998,21/11/1998,1,1,"ES010","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1998-12-31",1998,31/12/1998,01/01/1999,1,1,"ES040","Very High",1,"","Fluvial","","","",,"FD",""
"ES","ES-1999-01-18",1999,18/01/1999,19/01/1999,9,3,"ES091","High",1,"","Fluvial","","Natural exceedance","Rare",,"FD",""
"ES","ES-1999-02-27",1999,27/02/1999,01/03/1999,1,1,"ES070","Moderate",2,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1999-07-18",1999,17/07/1999,20/07/1999,8,8,"ES080,ES091","High",3,"","Fluvial,Pluvial","Other","Natural exceedance","Rare",,"FD",""
"ES","ES-1999-07-26",1999,26/07/1999,27/07/1999,1,1,"ES091","Moderate",1,"","Fluvial","","","",,"FD",""
"ES","ES-1999-07-31",1999,31/07/1999,01/08/1999,1,1,"ES080","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1999-09-01",1999,31/08/1999,02/09/1999,16,16,"ES020,ES030,ES091","Very High",2,"","Fluvial","Other","Natural exceedance","Very Rare",,"FD",""
"ES","ES-1999-09-04",1999,03/09/1999,07/09/1999,7,6,"ES050,ES080","Very High",4,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1999-09-14",1999,13/09/1999,16/09/1999,3,3,"ES080,ES091,ES100","High",3,"","Fluvial","Other","Natural exceedance,Defence exceedance","Rare",,"FD",""
"ES","ES-1999-09-17",1999,17/09/1999,26/09/1999,1,1,"ES040","Moderate",9,"","Fluvial","","","",,"FD",""
"ES","ES-1999-10-01",1999,01/10/1999,31/10/1999,24,24,"ES050,ES040","Very High",30,"","Fluvial","","","",,"FD",""
"ES","ES-1999-11-01",1999,01/11/1999,04/11/1999,3,3,"ES010,ES100","High",3,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-1999-12-13",1999,13/12/1999,17/12/1999,2,2,"ES010","High",4,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2000-04-11",2000,11/04/2000,12/04/2000,1,1,"ES018","Moderate",1,"","Fluvial,Sea water","","","",,"FD",""
"ES","ES-2000-04-14",2000,14/04/2000,15/04/2000,2,2,"ES010,ES030","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2000-05-07",2000,07/05/2000,08/05/2000,1,1,"ES050","Moderate",1,"","Fluvial","","","",,"FD",""
"ES","ES-2000-06-04",2000,04/06/2000,05/06/2000,1,1,"ES020","Moderate",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2000-06-10",2000,10/06/2000,11/06/2000,2,2,"ES100","Very High",1,"","Fluvial","","Natural exceedance","",,"FD","Data on Fatalities obtained from EM-DAT"
"ES","ES-2000-09-26",2000,26/09/2000,27/09/2000,1,1,"ES050","Moderate",1,"","Fluvial","","","",,"FD",""
"ES","ES-2000-10-01",2000,01/10/2000,02/10/2000,1,1,"ES091","High",1,"","Fluvial","","Natural exceedance","Rare",,"FD",""
"ES","ES-2000-10-21",2000,20/10/2000,27/10/2000,13,13,"ES070,ES080,ES091,ES100","Very High",7,"","Fluvial","Other","Natural exceedance,Defence exceedance","Very Rare",,"FD",""
"ES","ES-2000-11-05",2000,05/11/2000,06/11/2000,1,1,"ES010","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2000-11-07",2000,07/11/2000,08/11/2000,1,1,"ES010","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2000-11-14",2000,14/11/2000,19/11/2000,1,1,"ES010","High",5,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2000-11-22",2000,22/11/2000,23/11/2000,1,1,"ES010","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2000-12-06",2000,06/12/2000,10/12/2000,15,15,"ES050,ES010,ES020,ES030","Very High",4,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2000-12-24",2000,24/12/2000,25/12/2000,11,11,"ES050","Very High",1,"","Fluvial","","","",,"FD",""
"ES","ES-2000-12-29",2000,29/12/2000,30/12/2000,5,5,"ES030","High",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2001-01-10",2001,04/01/2001,29/01/2001,102,102,"ES050,ES010,ES020,ES030,ES040","Very High",25,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2001-02-07",2001,07/02/2001,08/02/2001,1,1,"ES030","Moderate",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2001-03-03",2001,01/03/2001,10/03/2001,55,48,"ES050,ES010,ES020,ES030,ES091","Very High",9,"","Fluvial","Other","Natural exceedance,Defence exceedance","Rare",,"FD",""
"ES","ES-2001-03-20",2001,20/03/2001,25/03/2001,4,4,"ES010","High",5,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2001-05-22",2001,20/05/2001,23/05/2001,9,9,"ES050,ES020,ES030","Very High",3,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2001-06-01",2001,01/06/2001,02/06/2001,78,78,"ES020","Very High",1,"","Fluvial","Other,High velocity flow","Natural exceedance","",,"FD",""
"ES","ES-2001-07-04",2001,04/07/2001,05/07/2001,5,5,"ES091","Very High",1,"","Fluvial","","","Very Rare",,"FD",""
"ES","ES-2001-07-28",2001,28/07/2001,29/07/2001,1,1,"ES020","Moderate",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2001-09-03",2001,03/09/2001,04/09/2001,1,1,"ES030","Moderate",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2001-10-07",2001,07/10/2001,08/10/2001,2,2,"ES010","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2001-10-12",2001,12/10/2001,13/10/2001,2,2,"ES050","High",1,"","Fluvial","","","",,"FD",""
"ES","ES-2001-11-20",2001,20/11/2001,20/11/2001,,,"","Very High",,"","","","","",,"EM-DAT",""
"ES","ES-2001-12-23",2001,23/12/2001,24/12/2001,3,3,"ES050","High",1,"","Fluvial","","","",,"FD",""
"ES","ES-2002-03-31",2002,31/03/2002,02/04/2002,,,"","Very High",2,"","","","","",,"EM-DAT",""
"ES","ES-2002-04-09",2002,09/04/2002,12/04/2002,1,1,"ES100","Moderate",3,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2002-05-07",2002,07/05/2002,09/05/2002,2,2,"ES100","High",2,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2002-05-30",2002,30/05/2002,31/05/2002,1,1,"ES010","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2002-07-02",2002,02/07/2002,03/07/2002,1,1,"ES080","Very High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2002-07-13",2002,13/07/2002,15/07/2002,,,"","High",3,"","","","","",,"DFO",""
"ES","ES-2002-08-24",2002,24/08/2002,28/08/2002,1,1,"ES018","Very High",4,"","Fluvial,Sea water","","","",,"FD",""
"ES","ES-2002-09-01",2002,01/09/2002,02/09/2002,1,1,"ES100","Moderate",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2002-09-12",2002,12/09/2002,13/09/2002,1,1,"ES100","Moderate",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2002-09-16",2002,16/09/2002,17/09/2002,13,13,"ES050","Very High",1,"","Fluvial","","","",,"FD",""
"ES","ES-2002-12-26",2002,01/11/2002,04/01/2003,19,17,"ES010,ES017,ES018,ES020,ES091","Very High",64,"","Fluvial,Sea water","Other","Natural exceedance,Defence exceedance","Rare",,"FD",""
"ES","ES-2003-01-05",2003,05/01/2003,09/01/2003,4,4,"ES020","High",4,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2003-01-26",2003,26/01/2003,10/02/2003,31,16,"ES010,ES091","Very High",15,"","Fluvial","Other","Natural exceedance","Very Rare",,"FD",""
"ES","ES-2003-02-16",2003,16/02/2003,17/02/2003,1,1,"ES091","Moderate",1,"","Fluvial","","Defence exceedance","",,"FD",""
"ES","ES-2003-02-28",2003,23/02/2003,01/03/2003,26,24,"ES010,ES020,ES091","Very High",6,"","Fluvial","Other,Medium onset flood","Natural exceedance,Defence exceedance","Very Rare",,"FD",""
"ES","ES-2003-05-09",2003,05/05/2003,10/05/2003,14,11,"ES091","Very High",5,"","Fluvial","","","Rare",,"FD",""
"ES","ES-2003-06-07",2003,07/06/2003,08/06/2003,1,1,"ES091","High",1,"","Fluvial","","Natural exceedance","Rare",,"FD",""
"ES","ES-2003-08-05",2003,05/08/2003,06/08/2003,,,"","High",2,"","","","","",,"DFO",""
"ES","ES-2003-08-17",2003,17/08/2003,18/08/2003,1,1,"ES100","Moderate",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2003-08-22",2003,22/08/2003,23/08/2003,1,1,"ES030","Moderate",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2003-09-05",2003,05/09/2003,06/09/2003,2,2,"ES050","Very High",1,"","Fluvial","","","",,"FD",""
"ES","ES-2003-10-01",2003,01/10/2003,02/10/2003,1,1,"ES100","Moderate",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2003-10-19",2003,18/10/2003,20/10/2003,4,4,"ES030,ES100","High",2,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2003-11-02",2003,02/11/2003,03/11/2003,2,2,"ES091","Very High",1,"","Fluvial","","Natural exceedance","Very Rare",,"FD",""
"ES","ES-2003-11-16",2003,16/11/2003,17/11/2003,1,1,"ES018","Moderate",1,"","Fluvial,Sea water","","","",,"FD",""
"ES","ES-2003-11-23",2003,23/11/2003,24/11/2003,1,1,"ES091","High",1,"","Fluvial","","Natural exceedance","Rare",,"FD",""
"ES","ES-2003-12-05",2003,01/12/2003,01/01/2004,10,10,"ES050,ES010,ES091","Very High",31,"","Fluvial","Other","Natural exceedance,Defence exceedance","Very Rare",,"FD",""
"ES","ES-2004-02-22",2004,22/02/2004,25/02/2004,5,5,"ES050","High",3,"","Fluvial","","","",,"FD",""
"ES","ES-2004-03-27",2004,27/03/2004,28/03/2004,,,"","Moderate",1,"","","","","",,"EM-DAT",""
"ES","ES-2004-04-09",2004,09/04/2004,10/04/2004,1,1,"ES050","Moderate",1,"","Fluvial","","","",,"FD",""
"ES","ES-2004-04-16",2004,16/04/2004,17/04/2004,4,4,"ES100","High",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2004-05-04",2004,04/05/2004,11/05/2004,3,3,"ES040,ES091","High",7,"","Fluvial","","","Rare",,"FD",""
"ES","ES-2004-05-15",2004,15/05/2004,16/05/2004,1,1,"ES030","Moderate",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2004-05-24",2004,24/05/2004,26/05/2004,5,5,"ES050","High",2,"","Fluvial","","","",,"FD",""
"ES","ES-2004-06-13",2004,13/06/2004,14/06/2004,1,1,"ES080","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2004-07-06",2004,06/07/2004,07/07/2004,5,5,"ES030","High",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2004-09-02",2004,01/09/2004,03/09/2004,5,5,"ES080,ES091,ES100","High",2,"","Fluvial","Other","Natural exceedance","Rare",,"FD",""
"ES","ES-2004-09-05",2004,05/09/2004,09/09/2004,7,7,"ES018,ES091,ES100","Very High",4,"","Fluvial,Sea water","","Natural exceedance,Defence exceedance","Very Rare",,"FD",""
"ES","ES-2004-09-11",2004,11/09/2004,12/09/2004,1,1,"ES010","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2004-10-19",2004,19/10/2004,20/10/2004,1,1,"ES030","Moderate",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2004-10-21",2004,21/10/2004,22/10/2004,2,2,"ES050","High",1,"","Fluvial","","","",,"FD",""
"ES","ES-2005-05-09",2005,09/05/2005,10/05/2005,1,1,"ES091","High",1,"","Fluvial","","","Rare",,"FD",""
"ES","ES-2005-08-01",2005,01/08/2005,02/08/2005,1,1,"ES080","Very High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2005-10-11",2005,11/10/2005,17/10/2005,4,4,"ES050,ES018,ES100","High",6,"","Fluvial,Sea water","","Natural exceedance","",,"FD",""
"ES","ES-2005-10-30",2005,30/10/2005,31/10/2005,2,2,"ES010,ES030","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2006-01-28",2006,28/01/2006,29/01/2006,1,1,"ES100","Moderate",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2006-01-30",2006,30/01/2006,31/01/2006,1,1,"ES100","Moderate",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2006-03-11",2006,10/03/2006,12/03/2006,13,9,"ES091","Very High",2,"","Fluvial","","Natural exceedance,Defence exceedance","Very Rare",,"FD",""
"ES","ES-2006-04-12",2006,12/04/2006,13/04/2006,3,3,"ES050","High",1,"","Fluvial","","","",,"FD",""
"ES","ES-2006-04-23",2006,23/04/2006,24/04/2006,2,2,"ES050","High",1,"","Fluvial","","","",,"FD",""
"ES","ES-2006-05-04",2006,04/05/2006,05/05/2006,5,5,"ES050","High",1,"","Fluvial","","","",,"FD",""
"ES","ES-2006-06-12",2006,12/06/2006,13/06/2006,1,1,"ES010","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2006-06-15",2006,15/06/2006,16/06/2006,6,6,"ES030","High",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2006-08-01",2006,01/08/2006,02/08/2006,1,1,"ES100","Moderate",1,"","Fluvial","","Natural exceedance","",,"FD",""
"ES","ES-2006-09-11",2006,11/09/2006,12/09/2006,1,1,"ES050","Moderate",1,"","Fluvial","","","",,"FD",""
"ES","ES-2006-10-23",2006,20/10/2006,24/10/2006,9,9,"ES050,ES010,ES030","High",4,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2006-10-25",2006,25/10/2006,27/10/2006,8,8,"ES010,ES020,ES030","High",2,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2006-11-03",2006,03/11/2006,05/11/2006,2,2,"ES040","Very High",2,"","Fluvial","","","",,"FD",""
"ES","ES-2006-11-16",2006,16/11/2006,17/11/2006,3,3,"ES050","High",1,"","Fluvial","","","",,"FD",""
"ES","ES-2006-11-19",2006,19/11/2006,30/11/2006,16,16,"ES010,ES020,ES030","Very High",11,"","Fluvial,Artificial water-bearing infrastructure","Other,High velocity flow","Natural exceedance,Defence or infrastructural failure","",,"FD",""
"ES","ES-2006-12-05",2006,05/12/2006,08/12/2006,6,6,"ES010","High",3,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2007-02-18",2007,13/02/2007,21/02/2007,10,5,"ES018,ES091,ES014","Very High",8,"","Fluvial","","Natural exceedance,Defence exceedance","Frequent",,"FD",""
"ES","ES-2007-03-03",2007,03/03/2007,04/03/2007,1,1,"ES014","Moderate",1,"","Fluvial","","","",,"FD",""
"ES","ES-2007-04-09",2007,25/03/2007,10/04/2007,30,20,"ES050,ES091","Very High",16,"","Fluvial","","Natural exceedance,Defence exceedance","Very Rare",,"FD","Data on Fatalities obtained from EM-DAT"
"ES","ES-2007-04-11",2007,11/04/2007,12/04/2007,1,1,"ES091","Very High",1,"","Fluvial","","Natural exceedance","Very Rare",,"FD",""
"ES","ES-2007-04-14",2007,14/04/2007,15/04/2007,1,1,"ES091","Very High",1,"","Fluvial","","Natural exceedance","Very Rare",,"FD",""
"ES","ES-2007-04-29",2007,29/04/2007,30/04/2007,1,1,"ES010","High",1,"","Fluvial","Other","Natural exceedance","",,"FD",""
"ES","ES-2007-05-02",2007,02/05/2007,03/05/2007,5,5,"ES050","High",1,"","Fluvial","","","",,"FD",""
"ES","ES-2007-05-20",2007,20/05/2007,21/05/2007,8,8,"ES030,ES014","High",1,"","Fluvial","","Natural exceedance","",,"FD",""
